Gender,Education_Level,Income_Category,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Total_Revolving_Bal,Total_Trans_Ct,Churned
M,High School,$60K - $80K,5,1,3,777,42,0
F,Graduate,Less than $40K,6,1,2,864,33,0
M,Graduate,$80K - $120K,4,1,0,0,20,0
F,High School,Less than $40K,3,4,1,2517,20,0
M,Uneducated,$60K - $80K,5,1,0,0,28,0
M,Graduate,$40K - $60K,3,1,2,1247,24,0
M,Unknown,$120K +,6,1,3,2264,31,0
M,High School,$60K - $80K,2,2,2,1396,36,0
M,Uneducated,$60K - $80K,5,2,0,2517,24,0
M,Graduate,$80K - $120K,6,3,3,1677,32,0
M,Uneducated,$120K +,5,3,2,1467,42,0
M,Unknown,$40K - $60K,6,2,3,1587,26,0
M,College,$80K - $120K,3,6,0,0,17,0
M,Graduate,$60K - $80K,5,1,3,1666,33,0
F,Graduate,Less than $40K,5,2,2,680,29,0
M,Unknown,$80K - $120K,5,1,2,972,27,0
M,Post-Graduate,$80K - $120K,6,2,3,2362,27,0
M,Unknown,$80K - $120K,4,4,1,1291,21,0
M,High School,$40K - $60K,2,2,3,2517,30,0
F,Graduate,Unknown,6,1,2,1157,21,0
M,Doctorate,$60K - $80K,5,2,0,1800,27,0
F,Graduate,Less than $40K,2,3,3,0,16,1
M,High School,$40K - $60K,4,2,1,680,18,0
F,Unknown,Less than $40K,3,3,2,1560,23,0
M,Unknown,$80K - $120K,4,2,3,0,21,0
F,Graduate,Less than $40K,6,1,2,1669,22,0
M,High School,$40K - $60K,4,1,2,1374,23,0
M,Unknown,$60K - $80K,3,3,2,1010,40,0
F,Uneducated,Unknown,5,2,2,0,18,0
M,High School,$40K - $60K,6,0,0,1362,38,0
M,Unknown,$80K - $120K,3,2,3,1811,25,0
M,Uneducated,$60K - $80K,2,5,1,1690,26,0
M,Graduate,$60K - $80K,4,1,2,2517,24,0
F,College,Less than $40K,5,2,3,1490,28,0
M,Graduate,$80K - $120K,6,2,2,1696,24,0
F,College,Less than $40K,4,2,1,1914,43,0
F,Graduate,Less than $40K,6,2,3,2298,37,0
F,High School,Less than $40K,2,3,3,0,22,0
F,Graduate,$40K - $60K,3,3,2,886,28,0
F,Doctorate,Unknown,5,4,3,605,16,1
M,Graduate,$80K - $120K,2,2,2,578,28,0
M,Unknown,$40K - $60K,4,1,0,2204,28,0
F,College,$40K - $60K,3,2,3,2517,33,0
M,High School,$60K - $80K,5,2,1,0,32,0
F,Graduate,Unknown,2,3,3,2055,23,0
M,Uneducated,$80K - $120K,3,2,3,0,28,0
M,Doctorate,$60K - $80K,6,2,0,1430,27,0
M,Doctorate,$40K - $60K,3,2,2,2020,27,0
M,High School,$80K - $120K,4,3,3,1435,27,0
M,College,$80K - $120K,5,1,1,1227,40,0
F,Unknown,Less than $40K,6,3,2,1549,30,0
F,Graduate,Less than $40K,2,3,1,808,19,1
F,High School,Less than $40K,3,4,2,2179,38,0
M,Unknown,$120K +,4,2,0,2517,35,0
M,Graduate,$120K +,1,3,3,0,15,1
F,Graduate,Less than $40K,6,4,2,2200,32,0
F,Graduate,Less than $40K,2,2,0,2363,40,0
M,Uneducated,$40K - $60K,4,2,3,1880,29,0
F,Graduate,Unknown,4,1,2,978,25,0
M,High School,$60K - $80K,4,4,3,1753,27,0
M,Unknown,$80K - $120K,4,2,3,2016,33,0
M,Graduate,$60K - $80K,2,4,4,0,15,1
M,High School,$60K - $80K,5,3,3,1251,28,0
M,Post-Graduate,$120K +,2,4,2,2102,26,0
M,High School,$120K +,4,2,2,1634,23,0
M,Uneducated,$80K - $120K,4,1,4,1515,32,0
M,College,$60K - $80K,5,3,3,1817,35,0
F,Uneducated,Less than $40K,6,3,3,1468,28,0
M,Graduate,$60K - $80K,2,2,2,1107,17,0
M,Doctorate,$80K - $120K,6,2,2,1330,15,0
M,Graduate,$120K +,3,2,3,1763,41,0
F,Graduate,Less than $40K,5,3,3,1034,36,0
M,Graduate,$60K - $80K,4,2,3,2030,21,0
M,Uneducated,$80K - $120K,6,2,2,1528,35,0
M,College,$60K - $80K,3,3,3,1932,24,0
M,Graduate,$80K - $120K,5,3,2,1515,33,0
F,Graduate,Less than $40K,6,4,2,2517,23,0
F,Uneducated,Less than $40K,4,4,2,1801,57,0
M,Graduate,$60K - $80K,6,1,2,1823,23,0
M,Graduate,$80K - $120K,6,3,2,1899,35,0
M,Graduate,$60K - $80K,4,4,0,1695,41,0
M,Unknown,$120K +,6,2,2,1533,29,0
F,Unknown,$40K - $60K,2,4,3,0,12,1
F,Graduate,Unknown,2,3,3,1417,20,0
M,Graduate,$80K - $120K,5,4,2,1219,27,0
M,Graduate,$60K - $80K,5,3,0,1910,35,0
M,High School,$120K +,4,2,1,2056,31,0
F,Uneducated,Less than $40K,5,2,3,0,32,0
M,High School,$60K - $80K,4,3,1,837,14,0
M,Unknown,$120K +,5,3,3,0,29,0
F,High School,Less than $40K,3,2,2,0,21,0
M,High School,$80K - $120K,4,3,0,1953,35,0
M,Graduate,$40K - $60K,4,4,3,0,34,0
M,Graduate,$80K - $120K,5,4,1,2037,29,0
F,Unknown,Unknown,5,1,2,2440,20,0
M,Graduate,Less than $40K,6,4,3,895,32,0
M,Graduate,$40K - $60K,5,4,2,1200,30,0
M,Doctorate,$40K - $60K,5,3,2,1706,42,0
M,College,$120K +,3,2,0,2250,19,0
M,Unknown,$80K - $120K,2,3,3,1628,18,1
F,College,Unknown,4,4,0,1960,22,0
F,Unknown,Unknown,5,3,3,2053,26,0
M,Graduate,$120K +,6,2,2,1264,33,0
F,Graduate,Less than $40K,3,3,3,1879,15,0
M,High School,$60K - $80K,3,3,0,0,34,0
F,Post-Graduate,Less than $40K,2,3,3,926,37,0
M,Post-Graduate,$120K +,6,1,2,931,21,0
M,Uneducated,$60K - $80K,5,2,3,2440,30,0
F,Unknown,Less than $40K,6,0,0,0,44,0
M,Unknown,$120K +,6,3,2,1960,31,0
M,Graduate,$60K - $80K,4,3,0,1886,32,0
M,Unknown,$60K - $80K,5,3,3,865,21,0
M,High School,$60K - $80K,5,1,2,1674,35,0
F,Uneducated,Less than $40K,2,2,2,706,24,0
M,Graduate,$80K - $120K,6,1,0,1294,37,0
M,Graduate,$80K - $120K,6,2,2,895,18,0
M,High School,$80K - $120K,3,2,0,1273,36,0
M,High School,$80K - $120K,4,1,4,1559,25,0
M,Doctorate,$60K - $80K,4,6,3,1196,24,0
F,High School,Less than $40K,3,2,3,1901,38,0
M,Graduate,$120K +,3,2,2,1023,13,0
F,Doctorate,Less than $40K,4,1,0,1951,29,0
M,High School,$80K - $120K,3,2,2,1836,38,0
F,High School,$40K - $60K,4,3,3,1540,47,0
M,College,$120K +,2,3,2,1527,42,0
M,Graduate,$60K - $80K,4,2,2,0,24,0
M,Graduate,$120K +,6,1,0,0,30,0
